date,nb_objets,saison
2016-09-14 00:00:00+00:00,231,automne
2016-09-15 00:00:00+00:00,299,automne
2016-09-16 00:00:00+00:00,284,automne
2016-09-17 00:00:00+00:00,228,automne
2016-09-18 00:00:00+00:00,117,automne
2016-09-19 00:00:00+00:00,436,automne
2016-09-20 00:00:00+00:00,305,automne
2016-09-21 00:00:00+00:00,304,automne
2016-09-22 00:00:00+00:00,308,automne
2016-09-23 00:00:00+00:00,285,automne
2016-09-24 00:00:00+00:00,205,automne
2016-09-25 00:00:00+00:00,132,automne
2016-09-26 00:00:00+00:00,431,automne
2016-09-27 00:00:00+00:00,275,automne
2016-09-28 00:00:00+00:00,246,automne
2016-09-29 00:00:00+00:00,310,automne
2016-09-30 00:00:00+00:00,357,automne
2016-10-01 00:00:00+00:00,170,automne
2016-10-02 00:00:00+00:00,94,automne
2016-10-03 00:00:00+00:00,486,automne
2016-10-04 00:00:00+00:00,302,automne
2016-10-05 00:00:00+00:00,374,automne
2016-10-06 00:00:00+00:00,278,automne
2016-10-07 00:00:00+00:00,341,automne
2016-10-08 00:00:00+00:00,169,automne
2016-10-09 00:00:00+00:00,99,automne
2016-10-10 00:00:00+00:00,475,automne
2016-10-11 00:00:00+00:00,294,automne
2016-10-12 00:00:00+00:00,301,automne
2016-10-13 00:00:00+00:00,259,automne
2016-10-14 00:00:00+00:00,271,automne
2016-10-15 00:00:00+00:00,176,automne
2016-10-16 00:00:00+00:00,107,automne
2016-10-17 00:00:00+00:00,433,automne
2016-10-18 00:00:00+00:00,296,automne
2016-10-19 00:00:00+00:00,268,automne
2016-10-20 00:00:00+00:00,343,automne
2016-10-21 00:00:00+00:00,260,automne
2016-10-22 00:00:00+00:00,228,automne
2016-10-23 00:00:00+00:00,98,automne
2016-10-24 00:00:00+00:00,426,automne
2016-10-25 00:00:00+00:00,263,automne
2016-10-26 00:00:00+00:00,302,automne
2016-10-27 00:00:00+00:00,288,automne
2016-10-28 00:00:00+00:00,283,automne
2016-10-29 00:00:00+00:00,244,automne
2016-10-30 00:00:00+00:00,98,automne
2016-10-31 00:00:00+00:00,322,automne
2016-11-01 00:00:00+00:00,184,automne
2016-11-02 00:00:00+00:00,329,automne
2016-11-03 00:00:00+00:00,301,automne
2016-11-04 00:00:00+00:00,266,automne
2016-11-05 00:00:00+00:00,156,automne
