,uic_code,code_gare,rg_libelle,alias_libelle_noncontraint,commune_libellemin,latitude_entreeprincipale_wgs84,longitude_entreeprincipale_wgs84
3105,0087683102,00790,GARES B BOURGOGNE,Villeneuve-la-Guyard,Villeneuve-la-Guyard,48.342425,3.071655
3106,0087545277,01459,GARES B IDF LIGNE C,Villeneuve-le-Roi,Villeneuve-le-Roi,48.739908,2.426084
3107,0087773515,00121,GARES C LANGUEDOC ROUSSILLON,Villeneuve-lès-Maguelone,Villeneuve-lès-Maguelone,43.5438231,3.849917
3108,0087756304,00230,GARES B COTE AZUR,Villeneuve-Loubet,Villeneuve-Loubet,43.629928,7.134066
3109,0087681825,00821,GARES B IDF LIGNE D,Villeneuve-Saint-Georges,Villeneuve-Saint-Georges,48.730113,2.446011
3110,0087696310,00705,GARES C AUVERGNE,Villeneuve-sur-Allier,Villeneuve-sur-Allier,46.6592073,3.2469557
3111,0087683219,00786,GARES C BOURGOGNE,Villeneuve-sur-Yonne,Villeneuve-sur-Yonne,48.0850129,3.2869251
3112,0087386649,02012,GARES B IDF LIGNE J,Villennes-sur-Seine,Villennes-sur-Seine,48.9394602,1.9993185
3113,0087618215,00936,GARES C MIDI PYRENEES,Villenouvelle,Villenouvelle,43.4330358,1.661081
3114,0087271510,02540,GARES B IDF LIGNE B,Villeparisis - Mitry-le-Neuf,Mitry-Mory,48.95325,2.60243
3115,0087575043,01365,GARES C CENTRE,Villeperdue,Villeperdue,47.2020438,0.6336449
3116,0087271452,02545,GARES B IDF LIGNE B,Villepinte,Villepinte,48.96292,2.51205
3117,0087393413,01969,GARES B IDF LIGNE N,Villepreux - Les Clayes,Clayes-sous-Bois,48.8239168,1.9930652
3118,0087743328,00379,GARES C ALPES,Villereversure,Villereversure,46.1944145,5.3977089
3119,0087316422,02247,GARES C PICARDIE,Villers sur Thère,Allonne,49.414583,2.1355274
3120,0087313437,02289,GARES B PICARDIE,Villers-Bretonneux,Villers-Bretonneux,49.86295,2.52141
3121,0087271734,02532,GARES B PICARDIE,Villers-Cotterêts,Villers-Cotterêts,49.25026,3.09370
3122,0087713339,00665,,Villers-les-Pots,Villers-les-Pots,47.2066023,5.3478716
3123,0087276378,02484,GARES C PICARDIE,Villers-Saint-Paul,Villers-Saint-Paul,49.2825762,2.4899067
3124,0087313593,02277,GARES C PICARDIE,Villers-Saint-Sépulcre,Villers-Saint-Sépulcre,49.3680779,2.2204386
3125,0087444398,01803,GARES C BASSE NORMANDIE,Villers-sur-Mer,Villers-sur-Mer,49.3159865,0.0099283
3126,0087697318,03212,GARES B IDF LIGNE T11,Villetaneuse Université T11,Villetaneuse,48.96,2.34251
3127,0087393884,01941,GARES B IDF LIGNE N,Villiers - Neauphle - Pontchartrain,Villiers-Saint-Frédéric,48.81550666129636,1.876934489891097
3128,0087116749,03011,Gares C Ile-de-France,Villiers Montbarbin,Crécy-la-Chapelle,48.8632544,2.8830418
