date,type,nb_objets
2016-10-31 00:00:00+00:00,"Articles de sport, loisirs, camping",73
2016-10-31 00:00:00+00:00,Articles médicaux,44
2016-10-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2517
2016-10-31 00:00:00+00:00,"Bijoux, montres",72
2016-10-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",415
2016-10-31 00:00:00+00:00,Divers,160
2016-10-31 00:00:00+00:00,Instruments de musique,15
2016-10-31 00:00:00+00:00,"Livres, articles de papéterie",249
2016-10-31 00:00:00+00:00,Optique,463
2016-10-31 00:00:00+00:00,Parapluies,86
2016-10-31 00:00:00+00:00,Pièces d'identités et papiers personnels,743
2016-10-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",1033
2016-10-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",84
2016-10-31 00:00:00+00:00,"Vêtements, chaussures",1109
2016-11-30 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1042
2016-11-30 00:00:00+00:00,"Articles d'enfants, de puériculture",84
2016-11-30 00:00:00+00:00,"Articles de sport, loisirs, camping",60
2016-11-30 00:00:00+00:00,Articles médicaux,47
2016-11-30 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2321
2016-11-30 00:00:00+00:00,"Bijoux, montres",68
2016-11-30 00:00:00+00:00,"Clés, porte-clés, badge magnétique",430
2016-11-30 00:00:00+00:00,Divers,149
2016-11-30 00:00:00+00:00,Instruments de musique,17
2016-11-30 00:00:00+00:00,"Livres, articles de papéterie",209
2016-11-30 00:00:00+00:00,Optique,393
2016-11-30 00:00:00+00:00,Parapluies,158
2016-11-30 00:00:00+00:00,Pièces d'identités et papiers personnels,702
2016-11-30 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",984
2016-11-30 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",78
2016-11-30 00:00:00+00:00,"Vêtements, chaussures",902
2016-12-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1157
2016-12-31 00:00:00+00:00,"Articles d'enfants, de puériculture",112
2016-12-31 00:00:00+00:00,"Articles de sport, loisirs, camping",57
2016-12-31 00:00:00+00:00,Articles médicaux,51
2016-12-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2631
2016-12-31 00:00:00+00:00,"Bijoux, montres",89
2016-12-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",384
2016-12-31 00:00:00+00:00,Divers,150
2016-12-31 00:00:00+00:00,Instruments de musique,16
2016-12-31 00:00:00+00:00,"Livres, articles de papéterie",209
2016-12-31 00:00:00+00:00,Optique,412
2016-12-31 00:00:00+00:00,Parapluies,32
2016-12-31 00:00:00+00:00,Pièces d'identités et papiers personnels,705
2016-12-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",943
2016-12-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",69
2016-12-31 00:00:00+00:00,"Vêtements, chaussures",968
2017-01-31 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1126
2017-01-31 00:00:00+00:00,"Articles d'enfants, de puériculture",71
2017-01-31 00:00:00+00:00,"Articles de sport, loisirs, camping",51
2017-01-31 00:00:00+00:00,Articles médicaux,49
2017-01-31 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2452
2017-01-31 00:00:00+00:00,"Bijoux, montres",81
2017-01-31 00:00:00+00:00,"Clés, porte-clés, badge magnétique",361
2017-01-31 00:00:00+00:00,Divers,137
2017-01-31 00:00:00+00:00,Instruments de musique,13
2017-01-31 00:00:00+00:00,"Livres, articles de papéterie",219
2017-01-31 00:00:00+00:00,Optique,367
2017-01-31 00:00:00+00:00,Parapluies,79
2017-01-31 00:00:00+00:00,Pièces d'identités et papiers personnels,718
2017-01-31 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",914
2017-01-31 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",72
2017-01-31 00:00:00+00:00,"Vêtements, chaussures",972
2017-02-28 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",1069
2017-02-28 00:00:00+00:00,"Articles d'enfants, de puériculture",96
2017-02-28 00:00:00+00:00,"Articles de sport, loisirs, camping",84
2017-02-28 00:00:00+00:00,Articles médicaux,49
2017-02-28 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",2148
2017-02-28 00:00:00+00:00,"Bijoux, montres",76
2017-02-28 00:00:00+00:00,"Clés, porte-clés, badge magnétique",344
2017-02-28 00:00:00+00:00,Divers,132
2017-02-28 00:00:00+00:00,Instruments de musique,22
