,region,date,n
242,Auvergne-Rhône-Alpes,2016-08-30,14
243,Auvergne-Rhône-Alpes,2016-08-31,20
244,Auvergne-Rhône-Alpes,2016-09-01,19
245,Auvergne-Rhône-Alpes,2016-09-02,25
246,Auvergne-Rhône-Alpes,2016-09-03,8
247,Auvergne-Rhône-Alpes,2016-09-04,7
248,Auvergne-Rhône-Alpes,2016-09-05,33
249,Auvergne-Rhône-Alpes,2016-09-06,23
250,Auvergne-Rhône-Alpes,2016-09-07,43
251,Auvergne-Rhône-Alpes,2016-09-08,41
252,Auvergne-Rhône-Alpes,2016-09-09,14
253,Auvergne-Rhône-Alpes,2016-09-10,3
254,Auvergne-Rhône-Alpes,2016-09-11,6
255,Auvergne-Rhône-Alpes,2016-09-12,36
256,Auvergne-Rhône-Alpes,2016-09-13,28
257,Auvergne-Rhône-Alpes,2016-09-14,11
258,Auvergne-Rhône-Alpes,2016-09-15,35
259,Auvergne-Rhône-Alpes,2016-09-16,16
260,Auvergne-Rhône-Alpes,2016-09-17,14
261,Auvergne-Rhône-Alpes,2016-09-18,9
262,Auvergne-Rhône-Alpes,2016-09-19,43
263,Auvergne-Rhône-Alpes,2016-09-20,16
264,Auvergne-Rhône-Alpes,2016-09-21,38
265,Auvergne-Rhône-Alpes,2016-09-22,39
266,Auvergne-Rhône-Alpes,2016-09-23,28
267,Auvergne-Rhône-Alpes,2016-09-24,10
268,Auvergne-Rhône-Alpes,2016-09-25,14
269,Auvergne-Rhône-Alpes,2016-09-26,45
270,Auvergne-Rhône-Alpes,2016-09-27,26
271,Auvergne-Rhône-Alpes,2016-09-28,27
272,Auvergne-Rhône-Alpes,2016-09-29,22
273,Auvergne-Rhône-Alpes,2016-09-30,27
274,Auvergne-Rhône-Alpes,2016-10-01,10
275,Auvergne-Rhône-Alpes,2016-10-02,10
276,Auvergne-Rhône-Alpes,2016-10-03,53
277,Auvergne-Rhône-Alpes,2016-10-04,27
278,Auvergne-Rhône-Alpes,2016-10-05,36
279,Auvergne-Rhône-Alpes,2016-10-06,17
280,Auvergne-Rhône-Alpes,2016-10-07,28
281,Auvergne-Rhône-Alpes,2016-10-08,6
282,Auvergne-Rhône-Alpes,2016-10-09,18
283,Auvergne-Rhône-Alpes,2016-10-10,24
284,Auvergne-Rhône-Alpes,2016-10-11,36
285,Auvergne-Rhône-Alpes,2016-10-12,37
286,Auvergne-Rhône-Alpes,2016-10-13,30
287,Auvergne-Rhône-Alpes,2016-10-14,19
288,Auvergne-Rhône-Alpes,2016-10-15,7
289,Auvergne-Rhône-Alpes,2016-10-16,6
290,Auvergne-Rhône-Alpes,2016-10-17,39
291,Auvergne-Rhône-Alpes,2016-10-18,34
292,Auvergne-Rhône-Alpes,2016-10-19,38
293,Auvergne-Rhône-Alpes,2016-10-20,30
294,Auvergne-Rhône-Alpes,2016-10-21,15
295,Auvergne-Rhône-Alpes,2016-10-22,13
296,Auvergne-Rhône-Alpes,2016-10-23,12
297,Auvergne-Rhône-Alpes,2016-10-24,62
298,Auvergne-Rhône-Alpes,2016-10-25,21
299,Auvergne-Rhône-Alpes,2016-10-26,15
300,Auvergne-Rhône-Alpes,2016-10-27,25
301,Auvergne-Rhône-Alpes,2016-10-28,11
302,Auvergne-Rhône-Alpes,2016-10-29,11
303,Auvergne-Rhône-Alpes,2016-10-30,9
304,Auvergne-Rhône-Alpes,2016-10-31,14
