date,type,nb_objets
2016-04-24 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",530
2016-04-24 00:00:00+00:00,"Bijoux, montres",18
2016-04-24 00:00:00+00:00,"Clés, porte-clés, badge magnétique",83
2016-04-24 00:00:00+00:00,Divers,30
2016-04-24 00:00:00+00:00,Instruments de musique,5
2016-04-24 00:00:00+00:00,"Livres, articles de papéterie",48
2016-04-24 00:00:00+00:00,Optique,109
2016-04-24 00:00:00+00:00,Parapluies,16
2016-04-24 00:00:00+00:00,Pièces d'identités et papiers personnels,150
2016-04-24 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",187
2016-04-24 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",22
2016-04-24 00:00:00+00:00,"Vêtements, chaussures",208
2016-05-01 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",262
2016-05-01 00:00:00+00:00,"Articles d'enfants, de puériculture",27
2016-05-01 00:00:00+00:00,"Articles de sport, loisirs, camping",16
2016-05-01 00:00:00+00:00,Articles médicaux,15
2016-05-01 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",506
2016-05-01 00:00:00+00:00,"Bijoux, montres",27
2016-05-01 00:00:00+00:00,"Clés, porte-clés, badge magnétique",78
2016-05-01 00:00:00+00:00,Divers,38
2016-05-01 00:00:00+00:00,Instruments de musique,3
2016-05-01 00:00:00+00:00,"Livres, articles de papéterie",49
2016-05-01 00:00:00+00:00,Optique,98
2016-05-01 00:00:00+00:00,Parapluies,27
2016-05-01 00:00:00+00:00,Pièces d'identités et papiers personnels,145
2016-05-01 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",209
2016-05-01 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",16
2016-05-01 00:00:00+00:00,"Vêtements, chaussures",209
2016-05-08 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",253
2016-05-08 00:00:00+00:00,"Articles d'enfants, de puériculture",28
2016-05-08 00:00:00+00:00,"Articles de sport, loisirs, camping",16
2016-05-08 00:00:00+00:00,Articles médicaux,11
2016-05-08 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",459
2016-05-08 00:00:00+00:00,"Bijoux, montres",23
2016-05-08 00:00:00+00:00,"Clés, porte-clés, badge magnétique",107
2016-05-08 00:00:00+00:00,Divers,34
2016-05-08 00:00:00+00:00,Instruments de musique,5
2016-05-08 00:00:00+00:00,"Livres, articles de papéterie",38
2016-05-08 00:00:00+00:00,Optique,123
2016-05-08 00:00:00+00:00,Parapluies,13
2016-05-08 00:00:00+00:00,Pièces d'identités et papiers personnels,175
2016-05-08 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",215
2016-05-08 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",17
2016-05-08 00:00:00+00:00,"Vêtements, chaussures",263
2016-05-15 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",317
2016-05-15 00:00:00+00:00,"Articles d'enfants, de puériculture",20
2016-05-15 00:00:00+00:00,"Articles de sport, loisirs, camping",23
2016-05-15 00:00:00+00:00,Articles médicaux,15
2016-05-15 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",519
2016-05-15 00:00:00+00:00,"Bijoux, montres",17
2016-05-15 00:00:00+00:00,"Clés, porte-clés, badge magnétique",107
2016-05-15 00:00:00+00:00,Divers,36
2016-05-15 00:00:00+00:00,Instruments de musique,7
2016-05-15 00:00:00+00:00,"Livres, articles de papéterie",74
2016-05-15 00:00:00+00:00,Optique,175
2016-05-15 00:00:00+00:00,Parapluies,50
2016-05-15 00:00:00+00:00,Pièces d'identités et papiers personnels,176
2016-05-15 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",222
2016-05-15 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",18
2016-05-15 00:00:00+00:00,"Vêtements, chaussures",244
2016-05-22 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",239
2016-05-22 00:00:00+00:00,"Articles d'enfants, de puériculture",23
2016-05-22 00:00:00+00:00,"Articles de sport, loisirs, camping",18
2016-05-22 00:00:00+00:00,Articles médicaux,10
2016-05-22 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",471
2016-05-22 00:00:00+00:00,"Bijoux, montres",11
2016-05-22 00:00:00+00:00,"Clés, porte-clés, badge magnétique",72
2016-05-22 00:00:00+00:00,Divers,35
2016-05-22 00:00:00+00:00,Instruments de musique,5
2016-05-22 00:00:00+00:00,"Livres, articles de papéterie",46
2016-05-22 00:00:00+00:00,Optique,116
2016-05-22 00:00:00+00:00,Parapluies,22
2016-05-22 00:00:00+00:00,Pièces d'identités et papiers personnels,159
2016-05-22 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",212
2016-05-22 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",15
2016-05-22 00:00:00+00:00,"Vêtements, chaussures",233
2016-05-29 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",270
2016-05-29 00:00:00+00:00,"Articles d'enfants, de puériculture",14
2016-05-29 00:00:00+00:00,"Articles de sport, loisirs, camping",18
2016-05-29 00:00:00+00:00,Articles médicaux,17
2016-05-29 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",478
2016-05-29 00:00:00+00:00,"Bijoux, montres",22
2016-05-29 00:00:00+00:00,"Clés, porte-clés, badge magnétique",94
2016-05-29 00:00:00+00:00,Divers,36
2016-05-29 00:00:00+00:00,Instruments de musique,2
