,temperature_moyenne,nb_lost_item
150,-2.9875,2
151,-2.9857142857142853,1
152,-2.9625,1
153,-2.9375000000000004,18
154,-2.9375,3
155,-2.9374999999999996,1
156,-2.925,6
157,-2.9125,4
158,-2.9,8
159,-2.8875,7
160,-2.8625,2
161,-2.8624999999999994,4
162,-2.85,10
163,-2.8375,8
164,-2.8374999999999995,2
165,-2.8249999999999997,7
166,-2.8125,19
167,-2.7875000000000005,1
168,-2.7875,10
169,-2.7750000000000004,6
170,-2.757142857142857,1
171,-2.75,5
172,-2.7375000000000003,6
173,-2.725,7
174,-2.7249999999999996,3
175,-2.6999999999999997,1
176,-2.675,2
177,-2.6624999999999996,1
178,-2.6500000000000004,6
179,-2.65,11
180,-2.6374999999999997,4
181,-2.625,17
182,-2.6125000000000003,1
183,-2.6125,5
184,-2.5875000000000004,9
185,-2.5749999999999997,2
186,-2.5625000000000004,2
187,-2.5625,4
188,-2.5500000000000003,5
189,-2.55,21
190,-2.5250000000000004,3
191,-2.5125,7
192,-2.5,27
193,-2.4875000000000003,11
194,-2.4875,1
195,-2.4625000000000004,8
196,-2.4499999999999997,20
197,-2.425,3
198,-2.4125,14
199,-2.4000000000000004,19
200,-2.3999999999999995,15
201,-2.3875,5
202,-2.375,12
203,-2.3625000000000003,17
204,-2.3625,16
205,-2.357142857142857,1
206,-2.3375000000000004,1
207,-2.3375,3
208,-2.325,3
209,-2.3124999999999996,8
210,-2.2875,1
211,-2.2625,22
212,-2.2624999999999997,10
213,-2.257142857142857,5
214,-2.2500000000000004,8
215,-2.25,14
216,-2.2499999999999996,1
217,-2.2375000000000003,5
218,-2.2375,7
219,-2.2125000000000004,1
220,-2.2125,1
221,-2.2,1
222,-2.1875,1
223,-2.1749999999999994,17
224,-2.1625,22
225,-2.1375,8
226,-2.1374999999999997,3
227,-2.125,23
228,-2.0999999999999996,22
229,-2.075,3
230,-2.0625,29
231,-2.05,8
232,-2.0375000000000005,1
233,-2.0374999999999996,7
234,-2.025,1
235,-2.0124999999999997,13
236,-2.0,5
237,-1.9999999999999998,4
238,-1.9749999999999999,1
239,-1.9625000000000001,15
240,-1.95,23
241,-1.9375,11
242,-1.9249999999999998,2
243,-1.9125,1
244,-1.9124999999999999,1
245,-1.9,3
246,-1.8875,1
247,-1.8799999999999997,1
248,-1.8750000000000004,1
249,-1.875,2
250,-1.8714285714285714,3
251,-1.8624999999999998,11
252,-1.85,14
253,-1.8499999999999999,8
254,-1.8375000000000001,5
255,-1.8375,11
256,-1.8285714285714287,2
257,-1.8250000000000002,1
258,-1.8142857142857145,4
259,-1.8125,31
260,-1.8000000000000003,6
261,-1.8,5
262,-1.7857142857142854,7
263,-1.7750000000000001,1
264,-1.775,5
265,-1.7625,1
266,-1.75,4
267,-1.7374999999999998,3
268,-1.7125000000000004,2
269,-1.7000000000000002,4
270,-1.6750000000000003,3
271,-1.675,11
272,-1.6749999999999998,6
273,-1.6625,8
274,-1.6500000000000001,1
275,-1.65,3
276,-1.6375,32
277,-1.6285714285714283,1
278,-1.625,5
279,-1.6125,2
280,-1.6,7
281,-1.5875,1
282,-1.5857142857142854,4
283,-1.5833333333333333,5
284,-1.5750000000000002,5
285,-1.575,7
286,-1.5749999999999997,3
287,-1.5625,2
288,-1.55,9
289,-1.5374999999999999,2
290,-1.5374999999999996,2
291,-1.5250000000000004,1
292,-1.5250000000000001,11
293,-1.525,28
294,-1.5125000000000002,12
295,-1.5,12
296,-1.4875,23
297,-1.475,23
298,-1.4625,5
299,-1.4571428571428573,2
300,-1.4500000000000002,5
301,-1.4499999999999997,9
302,-1.4375,5
303,-1.425,9
304,-1.4125,2
305,-1.4124999999999999,1
306,-1.4,7
307,-1.3999999999999997,1
308,-1.3875000000000002,5
309,-1.3875,6
310,-1.385714285714286,1
311,-1.3749999999999998,8
312,-1.3625000000000003,19
313,-1.3625,3
314,-1.3624999999999998,8
315,-1.3571428571428572,2
316,-1.35,20
317,-1.3375000000000001,2
318,-1.325,8
319,-1.3125,14
320,-1.2875,5
321,-1.275,3
322,-1.2625,6
323,-1.2624999999999997,1
324,-1.25,23
325,-1.2499999999999998,6
326,-1.2374999999999998,16
327,-1.225,5
328,-1.2249999999999999,9
329,-1.2125000000000001,13
330,-1.2125,28
331,-1.2000000000000002,9
332,-1.2,4
333,-1.1999999999999997,5
334,-1.1750000000000003,5
335,-1.175,4
336,-1.1714285714285715,6
337,-1.1625,9
338,-1.15,1
339,-1.1375000000000002,1
340,-1.1375,2
341,-1.1285714285714286,3
342,-1.1285714285714283,1
343,-1.125,38
344,-1.1125,1
345,-1.1124999999999998,2
346,-1.1000000000000003,1
347,-1.0999999999999999,1
348,-1.0857142857142859,5
349,-1.075,12
350,-1.0625,24
351,-1.05,1
352,-1.0499999999999998,5
353,-1.042857142857143,7
354,-1.0375,1
355,-1.025,10
356,-1.0125,4
357,-1.0124999999999997,3
358,-1.0,18
359,-0.9875,1
360,-0.9874999999999999,9
361,-0.975,8
362,-0.9714285714285714,7
363,-0.9625000000000001,3
364,-0.9624999999999999,10
365,-0.95,12
366,-0.9375000000000001,3
367,-0.9375,3
368,-0.9285714285714287,7
369,-0.9249999999999999,3
370,-0.9142857142857143,21
371,-0.914285714285714,3
372,-0.9125000000000001,5
373,-0.9125,8
374,-0.9124999999999999,21
375,-0.9,26
376,-0.8999999999999999,20
377,-0.8875000000000001,1
378,-0.8875,19
379,-0.8833333333333332,4
380,-0.8750000000000001,22
381,-0.875,9
382,-0.8625,1
383,-0.8624999999999998,3
384,-0.8499999999999999,2
385,-0.8375,8
386,-0.8374999999999999,19
387,-0.8250000000000001,7
388,-0.825,21
389,-0.8125,7
390,-0.8,48
391,-0.7875000000000001,8
392,-0.7875,13
393,-0.7874999999999999,4
394,-0.775,9
395,-0.7749999999999999,4
396,-0.7625000000000001,34
397,-0.7500000000000001,2
398,-0.75,1
399,-0.7375,36
