date,type,nb_objets
2016-01-19 00:00:00+00:00,Pièces d'identités et papiers personnels,27
2016-01-19 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",24
2016-01-19 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-19 00:00:00+00:00,"Vêtements, chaussures",35
2016-01-20 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",39
2016-01-20 00:00:00+00:00,"Articles d'enfants, de puériculture",1
2016-01-20 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-20 00:00:00+00:00,Articles médicaux,5
2016-01-20 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",61
2016-01-20 00:00:00+00:00,"Clés, porte-clés, badge magnétique",13
2016-01-20 00:00:00+00:00,Divers,5
2016-01-20 00:00:00+00:00,"Livres, articles de papéterie",7
2016-01-20 00:00:00+00:00,Optique,14
2016-01-20 00:00:00+00:00,Parapluies,2
2016-01-20 00:00:00+00:00,Pièces d'identités et papiers personnels,19
2016-01-20 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",34
2016-01-20 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",4
2016-01-20 00:00:00+00:00,"Vêtements, chaussures",47
2016-01-21 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",40
2016-01-21 00:00:00+00:00,"Articles d'enfants, de puériculture",2
2016-01-21 00:00:00+00:00,"Articles de sport, loisirs, camping",2
2016-01-21 00:00:00+00:00,Articles médicaux,2
2016-01-21 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",74
2016-01-21 00:00:00+00:00,"Bijoux, montres",4
2016-01-21 00:00:00+00:00,"Clés, porte-clés, badge magnétique",15
2016-01-21 00:00:00+00:00,Divers,6
2016-01-21 00:00:00+00:00,"Livres, articles de papéterie",8
2016-01-21 00:00:00+00:00,Optique,13
2016-01-21 00:00:00+00:00,Parapluies,2
2016-01-21 00:00:00+00:00,Pièces d'identités et papiers personnels,28
2016-01-21 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",27
2016-01-21 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-21 00:00:00+00:00,"Vêtements, chaussures",44
2016-01-22 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",50
2016-01-22 00:00:00+00:00,"Articles d'enfants, de puériculture",4
2016-01-22 00:00:00+00:00,"Articles de sport, loisirs, camping",2
2016-01-22 00:00:00+00:00,Articles médicaux,1
2016-01-22 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",94
2016-01-22 00:00:00+00:00,"Bijoux, montres",4
2016-01-22 00:00:00+00:00,"Clés, porte-clés, badge magnétique",26
2016-01-22 00:00:00+00:00,Divers,5
2016-01-22 00:00:00+00:00,Instruments de musique,1
2016-01-22 00:00:00+00:00,"Livres, articles de papéterie",8
2016-01-22 00:00:00+00:00,Optique,12
2016-01-22 00:00:00+00:00,Parapluies,1
2016-01-22 00:00:00+00:00,Pièces d'identités et papiers personnels,25
2016-01-22 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",32
2016-01-22 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-22 00:00:00+00:00,"Vêtements, chaussures",36
2016-01-23 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",10
2016-01-23 00:00:00+00:00,"Articles d'enfants, de puériculture",2
2016-01-23 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-23 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",39
2016-01-23 00:00:00+00:00,"Bijoux, montres",2
2016-01-23 00:00:00+00:00,"Clés, porte-clés, badge magnétique",8
2016-01-23 00:00:00+00:00,Divers,2
2016-01-23 00:00:00+00:00,"Livres, articles de papéterie",5
2016-01-23 00:00:00+00:00,Optique,9
2016-01-23 00:00:00+00:00,Pièces d'identités et papiers personnels,4
2016-01-23 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",12
2016-01-23 00:00:00+00:00,"Vêtements, chaussures",23
2016-01-24 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",21
2016-01-24 00:00:00+00:00,"Articles d'enfants, de puériculture",1
2016-01-24 00:00:00+00:00,"Articles de sport, loisirs, camping",1
2016-01-24 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",34
2016-01-24 00:00:00+00:00,"Clés, porte-clés, badge magnétique",4
2016-01-24 00:00:00+00:00,Divers,1
2016-01-24 00:00:00+00:00,"Livres, articles de papéterie",5
2016-01-24 00:00:00+00:00,Optique,7
2016-01-24 00:00:00+00:00,Parapluies,1
2016-01-24 00:00:00+00:00,Pièces d'identités et papiers personnels,9
2016-01-24 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",13
2016-01-24 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",1
2016-01-24 00:00:00+00:00,"Vêtements, chaussures",19
2016-01-25 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",62
2016-01-25 00:00:00+00:00,"Articles d'enfants, de puériculture",2
2016-01-25 00:00:00+00:00,"Articles de sport, loisirs, camping",4
2016-01-25 00:00:00+00:00,Articles médicaux,1
2016-01-25 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",129
2016-01-25 00:00:00+00:00,"Bijoux, montres",3
2016-01-25 00:00:00+00:00,"Clés, porte-clés, badge magnétique",15
2016-01-25 00:00:00+00:00,Divers,8
